Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
בר,"beth0255-6, jent0006-2, jent0006-5, jeru0300-4, jeru0305-5, jeru0319-3, jeru0385-2, jeru0386-2, jeru0387-2, jeru0397-2, jeru0414-2, jeru0449-14, jeru0449-16, jeru0450-3, jeru0486-2, jeru0492-3, jeru0492-7, jeru0492-24, jeru0508-2, jord0001-451, mari0004-7, masa0037-1, masa0398-2, masa0414-1, masa0415-1, masa0462-2, masa0463-2, masa0464-2, masa0468-2, masa0469-2, masa0470-2, masa0471-2, masa0480-1, masa0481-1, masa0482-1, masa0483-1, masa0502-1, shap0002-5, shap0003-5",בַּר,NOUN,w-בר,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
ברב,jaff0052-8,ברב,PROPN,w-ברב,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,y,m,Jewish,Berav,,,,,,,,,,,,,,,,,,,,,,,,,,,
ברוך,"jord0001-155, jord0001-465, unkn0103-1, unkn0103-4",בָּרוּךְ,,w-ברוך,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,blessed,,,
בריה,masa0503-1,בַּר,NOUN,w-בריה,[none provided],,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
ברכה,masa0393-1,בְּרָכָה,NOUN,w-ברכה,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,blessing,,,
ברמשא,jeru0357-8,רַמְשָׁא,NOUN,w-ברמשא,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,time,evening
ברקי,masa0398-3,ברקי,PROPN,w-ברקי,[none provided],,,y,,Jewish,Barkay,,,,,,,,,,,,,,,,,,,,,,,,,,,
ברת,"jeru0300-2, jeru0305-3",בְּרַתָּא,NOUN,w-ברת,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,daughter,,,,,,,,,,,,,,,,,
בשלום,"beth0227-9, beth0227-14, beth0238-9",שָׁלוֹם,NOUN,w-בשלום,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_DEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,peace,,,
בשמא,masa0471-3,בשמא,NOUN,w-בשמא,[none provided],,,,,,,,,,,,,,,,,,,,,,,y,druggist,,,,,,,,,
בשנת,qumr0001-1,שָׁנָה,NOUN,w-בשנת,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN FEMININE SINGULAR CONSTRUCT UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,y,year,,,,,,,,,,,,
בשר,"jord0001-410, masa0547-1",בָּשָׂר,VERB,w-בשר,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בת,"akld0024-4, beth0237-13, beth0237-27, jeru0449-12, jeru0454-2, jeru0454-4, masa0403-1, masa0405-1",בַּת,NOUN,w-בת,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,daughter,,,,,,,,,,,,,,,,,
בתו,"beth0237-5, beth0237-18, beth0243-2, beth0247-4",בַּת,NOUN,w-בתו,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,y,daughter,,,,,,,,,,,,,,,,,
בתולה,"beth0237-12, tibe0001-6",בָּתוּל,NOUN,w-בתולה,ADJECTIVE FEMININE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Zodiac sign,Virgo
ג,"jord0001-76, jord0001-271, jord0001-543, masa0360-2, masa0393-2, qumr0001-27, qumr0001-37, unkn0102-3",ג,X,w-ג,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גברי,jeru0449-6,גַּבְרָא,NOUN,w-גברי,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גבריאל,"jord0001-493, jord0001-521, jord0001-552",גַּבְרִיאֵל,PROPN,w-גבריאל,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,angel Gabriel,,,
גדי,tibe0001-8,גְּדִי,NOUN,w-גדי,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Zodiac sign,Capricorn
גיו,jeru0459-1,,,w-גיו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גמליאל,"beth0237-8, beth0237-25, beth0248-6",גַּמְלִיאֵל,PROPN,w-גמליאל,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Gamaliel,,,,,,,,,,,,,,,,,,,,,,,,,,,
גנ,jeru0334-2,,,w-גנ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גנבי,jeru0465-2,גַּנָּבֵי,PROPN,w-גנבי,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גני,jord0001-111,,,w-גני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גר,"jord0001-502, masa0540-1, masa0540-2",,,w-גר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גרגר,"masa0537-1, masa0541-1, masa0542-1",גַּרְגֵּר,NOUN,w-גרגר,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,dried fig / olive drupe,,,,,
גרמלקרת,tana0001-1,גרמלקרת,PROPN,w-גרמלקרת,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Other,Germelqart,,,,,,,,,,,,,,,,,,,,,,,,,,,
ד,"beth0263-2, jeru0377-1, jord0001-30, jord0001-40, jord0001-227, jord0001-242, jord0001-307, jord0001-368, jord0001-385, jord0001-526, qumr0001-35, unkn0102-4",ד,X,w-ד,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ד/ר,jord0001-322,,,w-ד/ר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דא,jord0001-34,,,w-דא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דב,masa0539-1,,,w-דב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דבל,masa0537-2,,,w-דבל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דבלה,"masa0516-1, masa0519-1, masa0522-1, masa0525-1, masa0526-1, masa0527-1, masa0528-1, masa0529-1, masa0530-1, masa0531-1, masa0533-1, masa0535-1, masa0536-1, masa0538-1, masa0540-3",,,w-דבלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דבנישראל,mari0004-10,,,w-דבנישראל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דבר,"jord0001-36, jord0001-450",דָּבָר,NOUN,w-דבר,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דג,jeru0490-3,,,w-דג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דגים,tibe0001-10,דָּג,NOUN,w-דגים,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Zodiac sign,Pisces
דוגה,masa0553-1,דוגה,NOUN,w-דוגה,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,y,fisherman,,,,,,,y,animal,fish
דוד,"jord0001-89, jord0001-456",דָּוִד,PROPN,w-דוד,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,David,,,,,,,,,,,,,,,,,,,,,,,,,,,
דומנה,beth0242-4,דומנה,PROPN,w-דומנה,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,y,f,Jewish,Domna,,,,,,,,,,,,,,,,,,,,,,,,,,,
דוסתס,masa0382-1,דּוּסְתַּס,PROPN,w-דוסתס,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Dositheos,,,,,,,,,,,,,,,,,,,,,,,,,,,
דזבנה,jeru0492-29,זבן,VERB,w-דזבנה,1-PreLets TOINFINITIVE SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
די,jeru0492-16,דִּי,PRON,w-די,INTERJECTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דכיר,mari0004-1,דכר,VERB,w-דכיר,VERB MASCULINE SINGULAR PERSON_3 PRESENT PASSIVE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,remembrance,,,
דלי,tibe0001-9,דְּלִי,PROPN,w-דלי,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Zodiac sign,Aquarius
דם,"jord0001-284, jord0001-347, jord0001-413",דָּם,NOUN,w-דם,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,blood,,,,,
דמלי,masa0403-2,דמלי,PROPN,w-דמלי,PreLets PRE_RELATIVIZER_SUBORDINATING VERB MASCULINE SINGULAR PERSON_3 PRESENT UNSPECIFIED UNSPECIFIED,,,y,[uncertain],Jewish,Domli,,,,,,,,,,,,,,,,,,,,,,,,,,,
דנטירא,akld0023-5,נטירא,PROPN,w-דנטירא,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PARTICIPLE FEMININE SINGULAR PERSON_3 ABSOLUTE PASSIVE UNSPECIFIED,,,y,m,Jewish,Natira,,,,,,,,,,,,,,,,,,,,,,,,,,,
דניאל,mtsc0001-3,דָּנִיֵּאל,PROPN,w-דניאל,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,
דסוי,hali0001-4,דסוי,PROPN,w-דסוי,PreLets PRE_RELATIVIZER_SUBORDINATING VERB MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Dasoi,,,,,,,,,,,,,,,,,,,,,,,,,,,
דעוך,jord0001-314,,,w-דעוך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דר,jeru0347-2,,,w-דר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דריה,jaff0057-7,,,w-דריה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דרן,jeru0358-2,,,w-דרן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ה,"beth0245-6, beth0261-1, beth0261-5, beth0261-7, huqo0001-18, jeru0492-11, jord0001-4, jord0001-10, jord0001-15, jord0001-38, jord0001-239, jord0001-317, jord0001-329, jord0001-343, jord0001-391, jord0001-392, jord0001-425, jord0001-488, jord0001-537, jord0001-558, masa0450-5, masa0537-3, masa0547-3, qumr0001-41, unkn0102-5",,,w-ה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הא,"jeru0459-3, jord0001-510, jord0001-518",,,w-הא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
האות,jord0001-98,אוֹת,NOUN,w-האות,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINEFEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,sign,y,sign,,,
האחרין,jord0001-198,אַחֵר,NOUN,w-האחרין,1-PreLets PRE_DEFINITEARTICLE ADJECTIVE MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
האלה,masa0454-2,אֵלֶּה,PRON,w-האלה,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הארון,beth0247-1,אָרוֹן,NOUN,w-הארון,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,coffin,,,,,
הארץ,"jord0001-172, jord0001-464",אֶרֶץ,NOUN,w-הארץ,1-PreLets PRE_DEFINITEARTICLE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,earth,y,earth,,,
הגאים,jord0001-69,גֵּא,NOUN,w-הגאים,1-PreLets PRE_DEFINITEARTICLE ADJECTIVE MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,y,nation,,,,,,,,,,,,,,,,,,,
הגדל,jeru0305-8,גָּדוֹל,NOUN,w-הגדל,1-PreLets PRE_DEFINITEARTICLE ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,y,high priest,,,,,,,,,,,,,y,high priest,,,,,y,high priest,,,
הגירת,jeru0412-2,גִּיֹּרֶת,NOUN,w-הגירת,1-PreLets PRE_DEFINITEARTICLE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,proselyte,,,
הגלילית,masa0404-2,גלילי,ADJ,w-הגלילית,[none provided],,,,,,,,,,,,,y,Galilean,,,,,,,,,,,,,,,,,,,
הד/י,qumr0001-22,,,w-הד/י,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הדולקת,jeru0412-3,דּוֹלֵק,ADJ,w-הדולקת,1-PreLets PRE_DEFINITEARTICLE PARTICIPLE FEMININE SINGULAR PERSON_ANY ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,fervent,,,
הו,"bshe0101-2, jord0001-16, qumr0002-4",,,w-הו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הוא,"jord0001-150, jord0001-336",הוּא,PRON,w-הוא,PRONOUN MASCULINE SINGULAR PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הוה,"jord0001-107, jord0001-300",,,w-הוה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הזה,"beth0247-2, beth0255-2, caes0518-2, jaff0052-4, jord0001-139",זֶה,PRON,w-הזה,1-PreLets PRE_DEFINITEARTICLE PRONOUN MASCULINE SINGULAR PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הזו,beth0250-13,זֶה,PRON,w-הזו,1-PreLets PRE_DEFINITEARTICLE PRONOUN FEMININE SINGULAR PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הזות,"masa0449-3, masa0450-3, masa0451-3, masa0452-3",זֶה,PRON,w-הזות,1-PreLets PRE_DEFINITEARTICLE BAREINFINITIVE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
החסידין,jord0001-87,חַסִּיד,NOUN,w-החסידין,1-PreLets PRE_DEFINITEARTICLE ADJECTIVE FEMININE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,pious,,,
הטוב,beth0263-3,טוֹב,ADJ,w-הטוב,1-PreLets PRE_DEFINITEARTICLE ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
היא,jord0001-165,הוּא,PRON,w-היא,COPULA FEMININE SINGULAR PERSON_3 PRESENT UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
היודה,jeru0492-25,,,w-היודה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הכדין,masa0454-1,כד,NOUN,w-הכדין,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,jar,,,,,
הכהן,"jaff0052-7, jeru0305-7",כֹּהֵן,NOUN,w-הכהן,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,y,priest,,,,,,,,,,,,,,y,priest,,,,,y,priest,,,
הל,qumr0001-43,,,w-הל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלי/ו,qumr0001-17,,,w-הלי/ו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הליל,beth0250-5,הליל,PROPN,w-הליל,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hillel,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלל,"beth0238-4, masa0473-1",הִלֵּל,PROPN,w-הלל,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hillel,,,,,,,,,,,,,,,,,,,,,,,,,,,
הללו,qumr0001-13,,,w-הללו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלנא,akld0016-1,הלנא,PROPN,w-הלנא,1-PreLets PRE_DEFINITEARTICLE PREPOSITION UNSPECIFIED,,,y,f,Jewish,Helene,,,,,,,,,,,,,,,,,,,,,,,,,,,
המל,jord0001-494,,,w-המל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
המלאך,jord0001-149,מַלְאָךְ,NOUN,w-המלאך,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,angel,,,
המערה,beth0250-12,מְעָרָה,NOUN,w-המערה,1-PreLets PRE_DEFINITEARTICLE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,cave,,,,,,,,,,,,,,,
המקום,jord0001-454,מָקוֹם,NOUN,w-המקום,1-PreLets PRE_DEFINITEARTICLE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,place,,,,,,,,,,,,,,,
המרכבה,jord0001-415,מֶרְכָּבָה,NOUN,w-המרכבה,1-PreLets PRE_DEFINITEARTICLE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,y,chariot,,,,,,,,,,,,,,,y,chariot,y,chariot,,,
המרכבות,jord0001-182,מֶרְכָּבָה,NOUN,w-המרכבות,1-PreLets PRE_DEFINITEARTICLE NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,y,chariot,,,,,,,,,,,,,,,y,chariot,y,chariot,,,
הן,beth0237-2,הוּא,PRON,w-הן,PRONOUN FEMININE PLURAL PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הנא,jeru0502-2,חָנָא,PROPN,w-הנא,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Chana,,,,,,,,,,,,,,,,,,,,,,,,,,,
הנגי,jord0001-289,הנגי,,w-הנגי,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הנה,"jord0001-67, jord0001-173",הֵן,CONJ,w-הנה,CONJUNCTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הנהתמ,masa0429-2,נהתם,NOUN,w-הנהתמ,1-PreLets PRE_INTERROGATIVE VERB FEMININE SINGULAR PERSON_3 PAST UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_MASCULINE SUF_PLURAL SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,y,baker,,,,,,,,,
הנוסי,masa0473-2,,,w-הנוסי,"1-PreLets PRE_RELATIVIZER_SUBORDINATING VERB MASCULINE SINGULAR PERSON_ANY PRESENT UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_MASCULINEFEMININE SUF_SINGULAR SUF_PERSON_1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הנזיר,jeru0486-4,נָזִיר,NOUN,w-הנזיר,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,nazirite,,,
הנניה,masa0486-1,חֲנַניָה,PROPN,w-הנניה,COPULA MASCULINEFEMININE SINGULAR PERSON_1 PRESENT UNSPECIFIED,,,y,m,Jewish,Hananiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
הנרא,jord0001-372,נוֹרָא,ADJ,w-הנרא,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,awesome,,,
הספר,"jeru0384-2, jeru0385-4",סֹּפֵר,NOUN,w-הספר,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,y,scribe,,,,,,,,,
העולם,jord0001-399,עוֹלָם,NOUN,w-העולם,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,world,,y,eternity,,,,,,,,y,world/eternity,,,
העיר,huqo0001-4,עִיר,NOUN,w-העיר,[none provided],,,,,,,,,,,,,,,,,y,city,,,,,,,,,,,,,,,
העמקי,masa0434-1,עֵמֶק,NOUN,w-העמקי,1-PreLets PRE_RELATIVIZER_SUBORDINATING VERB MASCULINE PLURAL PERSON_ANY PRESENT UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_MASCULINEFEMININE SUF_SINGULAR SUF_PERSON_1,,,,,,,,,,,,,,,,,y,valley,,,,,,,,,,,,,,,
הפנימית,beth0239-3,פְּנִימִי,ADJ,w-הפנימית,1-PreLets PRE_DEFINITEARTICLE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,inner coffin,,,,,
הצדיקים,beth0237-35,צַדִּיק ,NOUN,w-הצדיקים,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,righteous,,,
הצדק,jord0001-131,צֶדֶק,NOUN,w-הצדק,"1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,justice,,,
הציעתו,jaff0054-3,יצע,VERB,w-הציעתו,VERB FEMININE SINGULAR PERSON_3 PAST UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,y,resting place,,,,,,,,,,,y,resting place,,,
הצמח,jord0001-136,צֶמַח,NOUN,w-הצמח,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,plant,,,,,
הצץ,jord0001-224,עֵץ,NOUN,w-הצץ,1-PreLets PRE_DEFINITEARTICLE PARTICIPLE MASCULINE SINGULAR PERSON_ANY ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,tree,,,,,
הקבר,"beth0255-1, caes0518-1, jaff0052-3",קֶבֶר,NOUN,w-הקבר,1-PreLets PRE_DEFINITEARTICLE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,tomb,,,,,,,,,,,,,,,
הקדושים,beth0239-11,קָדוֹשׁ,ADJ,w-הקדושים,"1-PreLets PRE_DEFINITEARTICLE ADJECTIVE MASCULINE PLURAL ABSOLUTE UNSPECIFIED
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,holy,,,
הקדש,"masa0449-12, masa0450-12, masa0451-8, masa0452-7",קָדוֹשׁ,ADJ,w-הקדש,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,holy,,,
הקטן,"beth0233-2, beth0256-2, jord0001-549",קְטַן,ADJ,w-הקטן,1-PreLets PRE_DEFINITEARTICLE ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הקפר,dabb0006-6,הַקַּפָּר,PROPN,w-הקפר,1-PreLets PRE_DEFINITEARTICLE PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hakappar,,,,,,,,,,,,,,,,,,,,,,,,,,,
הקרב,mger0037-2,קרב,VERB,w-הקרב,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,sacrifice,,,
הקריב,mger0150-2,קרב,VERB,w-הקריב,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,sacrifice,,,
הרה,"masa0449-1, masa0450-1, masa0451-1, masa0452-1",הַרי,VERB,w-הרה,VERB MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
